epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,31654.8,1.11245,0.71133,1.28404,0.63248,0.75014,0.7588,0.52848,1.4277,1.37368,1.26331,0.0004655,0.0004655,0.0004655
64,32156.7,1.10572,0.69874,1.28134,0.79729,0.57992,0.73225,0.51555,1.42646,1.4238,1.25917,0.00044075,0.00044075,0.00044075
65,32658.9,1.1039,0.69783,1.28647,0.78729,0.6169,0.7431,0.52061,1.48974,1.37263,1.33856,0.000416,0.000416,0.000416
66,33160.9,1.10441,0.701,1.26775,0.73813,0.66667,0.7744,0.54622,1.40882,1.27568,1.26017,0.00039125,0.00039125,0.00039125
67,33663.5,1.07586,0.66672,1.25114,0.8226,0.58974,0.7514,0.5296,1.45042,1.40912,1.28423,0.0003665,0.0003665,0.0003665
68,34165.9,1.08145,0.67965,1.25724,0.79787,0.60897,0.7586,0.52569,1.45888,1.36531,1.26813,0.00034175,0.00034175,0.00034175
69,34668.4,1.08784,0.68657,1.25267,0.78328,0.60256,0.7592,0.53916,1.43787,1.36029,1.26289,0.000317,0.000317,0.000317
70,35170.7,1.06392,0.67531,1.25198,0.72593,0.64522,0.76687,0.54894,1.40162,1.31744,1.2356,0.00029225,0.00029225,0.00029225
71,35674.4,1.11696,0.59363,1.23457,0.77053,0.71034,0.79256,0.56198,1.42167,1.3532,1.25469,0.0002675,0.0002675,0.0002675
72,36176.9,1.08298,0.57222,1.22928,0.81111,0.70513,0.80853,0.56053,1.4193,1.36359,1.25307,0.00024275,0.00024275,0.00024275
73,36678.7,1.07733,0.55525,1.21044,0.8107,0.68634,0.80824,0.55714,1.45427,1.36728,1.2711,0.000218,0.000218,0.000218
74,37181,1.07109,0.55242,1.20559,0.84222,0.75641,0.82018,0.57597,1.42046,1.3352,1.24607,0.00019325,0.00019325,0.00019325
75,37683.5,1.06907,0.54484,1.19655,0.76896,0.68275,0.80308,0.57904,1.41056,1.35387,1.24239,0.0001685,0.0001685,0.0001685
76,38186,1.02963,0.52716,1.18924,0.7905,0.70513,0.81055,0.57671,1.41542,1.3448,1.25398,0.00014375,0.00014375,0.00014375
77,38687.8,1.0396,0.52855,1.17771,0.7894,0.64877,0.79671,0.56866,1.43522,1.40295,1.25376,0.000119,0.000119,0.000119
78,39190,1.04347,0.53231,1.17527,0.79348,0.66501,0.79886,0.57592,1.40984,1.3909,1.23946,9.425e-05,9.425e-05,9.425e-05
79,39692.4,1.01848,0.51196,1.16605,0.79919,0.70513,0.81212,0.58205,1.40558,1.34983,1.2358,6.95e-05,6.95e-05,6.95e-05
80,40194.6,1.02885,0.50855,1.17678,0.79077,0.69872,0.80467,0.58272,1.41599,1.36389,1.24595,4.475e-05,4.475e-05,4.475e-05
